Nombre,Habilidades,Competencia con habilidades,Dotes,Herramientas
Mercenario,"CAR, CON, FUE","Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21), Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21)",Peleador de Taberna (https://www.notion.so/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Minero,"CON, FUE, SAB","Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Atacante Salvaje (https://www.notion.so/Atacante-Salvaje-36382858a77580f69713dce4992cb568?pvs=21),Herramientas de cantero (https://www.notion.so/Herramientas-de-cantero-15682858a77580168bc4e842ba02e974?pvs=21)
Noble,"CAR, FUE, INT","Sociedad (https://www.notion.so/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21), Diplomacia (https://www.notion.so/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21)",Hábil (https://www.notion.so/H-bil-36182858a77580edaf2bda94378de440?pvs=21),Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Pastor,"CON, FUE, SAB","Domesticar (https://www.notion.so/Domesticar-14882858a77580f4b92ef9c92a64afcc?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Frugal (https://www.notion.so/Frugal-36282858a7758010a83dfdaf13f667e5?pvs=21),Utensilios de cocina (https://www.notion.so/Utensilios-de-cocina-15582858a775809aa6c9fe26b481f7f7?pvs=21)
Perista,"CAR, DES, INT","Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Perspicacia (https://www.notion.so/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),Suministros de joyero (https://www.notion.so/Suministros-de-joyero-15582858a7758098857ec164b0b372cd?pvs=21)
Pescador,"CON, DES, SAB","Resistencia (https://www.notion.so/Resistencia-14882858a775804dacebe7c832ce77e6?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Frugal (https://www.notion.so/Frugal-36282858a7758010a83dfdaf13f667e5?pvs=21),Aparejos de pesca (https://www.notion.so/Aparejos-de-pesca-27782858a775801bb8e3c4802d645f5a?pvs=21)
Pionero,"CON, FUE, SAB","Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Superviviente (https://www.notion.so/Superviviente-36282858a77580918bdeebd70cd48ca7?pvs=21),Herramientas de carpintero (https://www.notion.so/Herramientas-de-carpintero-15582858a77580ff94fbed3aba9f5017?pvs=21)
Predicador,"CAR, INT, SAB","Diplomacia (https://www.notion.so/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21), Interpretar (https://www.notion.so/Interpretar-14882858a775809eb284c5133cd7bffe?pvs=21)",Hábil (https://www.notion.so/H-bil-36182858a77580edaf2bda94378de440?pvs=21),Instrumento musical (https://www.notion.so/Instrumento-musical-15682858a775803a99d6f4bdcb2392f5?pvs=21)
Proscrito,"CON, DES, INT","Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Finura (https://www.notion.so/Finura-14882858a77580a18b73f43a730673f0?pvs=21)",Acechador  (https://www.notion.so/Acechador-36382858a77580939674d0355635fe3d?pvs=21),Herramientas de ladrón (https://www.notion.so/Herramientas-de-ladr-n-cd27c6e393cc42ecbb4e4693bfb6938d?pvs=21)
Rufián,"CAR, CON, FUE","Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21)",Peleador de Taberna (https://www.notion.so/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Sabio,"CON, INT, SAB","Arcana (https://www.notion.so/Arcana-14882858a775801e8405d641eaa6a5ce?pvs=21), Sociedad (https://www.notion.so/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21)",Axioma Temporal (https://www.notion.so/Axioma-Temporal-36482858a7758086bad0e8b16b8d5ae8?pvs=21),Suministros de calígrafo (https://www.notion.so/Suministros-de-cal-grafo-15582858a775808e8e2ec5f281c2c7c7?pvs=21)
Sacerdote,"CAR, INT, SAB","Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21), Religión (https://www.notion.so/Religi-n-14882858a77580eab34ee76d890f406c?pvs=21)",Fortuna Purificante (https://www.notion.so/Fortuna-Purificante-36182858a77580dea24ac42e0ac603ee?pvs=21),Kit de sanador (https://www.notion.so/Kit-de-sanador-15d5b42f7e3a4e4c9b7b5b6dbe7a5d64?pvs=21)
Sectario,"CAR, CON, INT","Arcana (https://www.notion.so/Arcana-14882858a775801e8405d641eaa6a5ce?pvs=21), Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Fermentación Necrótica (https://www.notion.so/Fermentaci-n-Necr-tica-36182858a77580a6b918e1703a847e18?pvs=21),Suministros de envenenador (https://www.notion.so/Suministros-de-envenenador-15382858a77580eb9ae6cc56f2e2f34c?pvs=21)
Sepulturero,"CON, FUE, SAB","Religión (https://www.notion.so/Religi-n-14882858a77580eab34ee76d890f406c?pvs=21), Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21)",Resistente (https://www.notion.so/Resistente-36182858a775805381d0da73dde6f289?pvs=21),
Soldado,"CON, DES, FUE","Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21)",Atacante Técnico (https://www.notion.so/Atacante-T-cnico-35f82858a77580dea9cafcac906ce38e?pvs=21),Herramientas de herrero (https://www.notion.so/Herramientas-de-herrero-15482858a7758098b418e1e390481066?pvs=21)
Trampero,"DES, INT, SAB","Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Superviviente (https://www.notion.so/Superviviente-36282858a77580918bdeebd70cd48ca7?pvs=21),Herramientas de trampero (https://www.notion.so/Herramientas-de-trampero-26382858a77580388215ff6fc52351b5?pvs=21)
